gid	0	50	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950	1000
YML133C	0.1813864	0.20243	0.2131032	0.2502663	0.2627116	0.2381448	0.2083402	0.1995852	0.2447555	0.2459421	0.2302395	0.2379695	0.1919096	0.204398	0.1872538	0.1667507	0.1548258	0.1408821	0.1589764	0.1568988	0.168397
YML132W	0.5947696	0.7143701	0.5123216	0.5167729	0.3808602	0.4911973	0.4844478	0.4678321	0.4847492	0.4558136	0.4432883	0.3612806	0.5735489	0.6397858	0.6768737	0.6842202	0.6627663	0.5662224	0.7093933	0.6813838	0.6696708
YLL066C	0.7930952	0.8396681	0.7520542	0.7106497	0.6914067	0.6144679	0.7283083	0.7643073	0.6939915	0.7608462	0.7465869	0.7430737	0.70564	0.8480095	0.8660296	0.8618282	0.923715	0.8890018	0.8626084	0.855795	0.891561
YGL096W	0.3358253	0.2534854	0.0942777	0.0508451	0.0307911	0.0323686	0.0288934	0.0288249	0.0279894	0.0249896	0.0399108	0.0645947	0.159369	0.2616853	0.2690141	0.2982796	0.3215583	0.2615611	0.2933644	0.2278184	0.2308574
YLL065W	0.921974	0.8993689	0.9229365	0.9651477	1.0017402	1.0302076	0.999763	1.0685913	0.9919198	0.9721074	1.0413168	1.0884597	0.9864728	1.0231483	1.0023595	0.9105294	0.8965576	0.9220174	0.8498975	0.9106772	0.8970859
YNL338W	0.5720185	0.7217571	0.7990965	0.7448179	0.7303504	0.7939236	0.7488312	0.7980584	0.76999	0.6737497	0.7024411	0.5782358	0.4887847	0.4679256	0.5754438	0.6070894	0.6614923	0.665262	0.5966425	0.5786696	0.5290235
YNR076W	0.0245452	0.0130922	0.0095859	0.0073419	0.006858	0.0042277	0.0047447	0.0042138	0.0062028	0.002688	0.0010649	0.006278	0.0036426	0.0034711	0.0093375	0.010661	0.0108801	0.0112443	0.0101394	0.0119785	0.0094845
YPL282C	0.060616	0.0807983	0.0898846	0.0638316	0.0619376	0.0607063	0.0523342	0.0539639	0.062287	0.0859726	0.0474443	0.0463493	0.0738523	0.0776205	0.125254	0.111187	0.0916995	0.0844626	0.1198259	0.0714319	0.1236569
YHL048W	1.0303597	0.9213488	0.8592833	0.8453292	0.775624	0.7397687	0.7251612	0.7331044	0.6918589	0.6920724	0.7026195	0.7348598	0.8380625	0.8991371	1.0511464	1.0190306	0.9739779	0.9286802	1.0198652	0.9369499	0.9746694
YMR016C	0.9760297	1.0327566	0.969496	0.9984287	0.9803077	1.0448335	0.9975228	1.0981578	1.1322225	1.0926905	1.0003626	0.9561927	0.9290291	1.0026549	1.0256298	1.0495496	0.9890203	1.0019435	0.96726	1.0022164	0.9841875
